"Precinct","Longitude","Latitude"
"East",-122.311749720973,47.6161844925926
"North",-122.324425397289,47.7035823334901
"South",-122.282462711096,47.5292792177913
"SouthWest",-122.348900074342,47.5249855562804
"West",-122.342458819992,47.6212519766496
